Practitioner ID,Virtual Flag (0 = In -person; 1 = Virtual),Service Date,Number of Distinct Patient Visits,
9738,0,29Feb2020 0:00:00,6,
9738,0,01Mar2020 0:00:00,5,
9738,0,02Mar2020 0:00:00,6,
9738,0,03Mar2020 0:00:00,11,
9738,0,04Mar2020 0:00:00,4,
9738,0,05Mar2020 0:00:00,9,
9738,0,06Mar2020 0:00:00,12,
9738,0,07Mar2020 0:00:00,7,
9738,0,08Mar2020 0:00:00,7,
9738,0,09Mar2020 0:00:00,10,
9738,0,10Mar2020 0:00:00,8,
9738,0,11Mar2020 0:00:00,9,
9738,0,12Mar2020 0:00:00,6,
9738,0,13Mar2020 0:00:00,10,
9738,0,14Mar2020 0:00:00,17,
9738,0,15Mar2020 0:00:00,17,
9738,0,16Mar2020 0:00:00,8,
9738,0,17Mar2020 0:00:00,5,
9738,0,18Mar2020 0:00:00,9,
9738,0,19Mar2020 0:00:00,1,
9738,0,20Mar2020 0:00:00,10,
9738,0,21Mar2020 0:00:00,9,
9738,0,22Mar2020 0:00:00,18,
9738,0,23Mar2020 0:00:00,4,
9738,0,24Mar2020 0:00:00,4,
9738,0,25Mar2020 0:00:00,1,
9738,0,27Mar2020 0:00:00,1,
9738,0,29Mar2020 0:00:00,1,
9738,1,15Mar2020 0:00:00,1,
9738,1,16Mar2020 0:00:00,2,
9738,1,17Mar2020 0:00:00,2,
9738,1,18Mar2020 0:00:00,5,
9738,1,19Mar2020 0:00:00,1,
9738,1,20Mar2020 0:00:00,7,
9738,1,21Mar2020 0:00:00,5,
9738,1,22Mar2020 0:00:00,3,
9738,1,24Mar2020 0:00:00,2,
9738,1,25Mar2020 0:00:00,12,
9738,1,26Mar2020 0:00:00,2,
9738,1,27Mar2020 0:00:00,12,
9738,1,28Mar2020 0:00:00,12,
9738,1,29Mar2020 0:00:00,9,
9738,1,30Mar2020 0:00:00,2,
9738,1,31Mar2020 0:00:00,3,
6627,0,01Apr2019 0:00:00,1,
6627,0,03Apr2019 0:00:00,5,
6627,0,04Apr2019 0:00:00,4,
6627,0,08Apr2019 0:00:00,5,
6627,0,10Apr2019 0:00:00,6,
6627,0,15Apr2019 0:00:00,5,
6627,0,17Apr2019 0:00:00,5,
6627,0,18Apr2019 0:00:00,1,
6627,0,24Apr2019 0:00:00,6,
